Name,IAU,ref,cdda16,Z,G_NO,ZERO-TO-ZERO,AVE_PEAK,MAX_PEAK,MIN_PEAK,AVE_V,AVE_V_over_Z2Z,AVE_FWHM,MAX_FWHM,MIN_FWHM,TYPE
PKS1555-140,1555-140,cwm+06,N,0.097,2,541,0.076,0.079,0.072,-14.1,-0.026,137.0,147.0,127.0,ass
4C+52.37,J160246+524358,css11,N,0.106,2,207,0.007,0.01,0.004,-27.6,0.13,53.56,58.0,49.1,ass
SDSSJ160427.39+605055.3,J1604+6050,ysd+16,Y,0.559,1,21,0.014,0.014,0.014,0.0,0.0,8.0,8.0,8.0,ass
PKS1614+26,J1616+2647,ysd+16,Y,0.755,1,1129,0.008,0.008,0.008,0.0,0.0,447.0,447.0,447.0,ass
SDSSJ164801.53+222433.3,1645+2230,adi19,N,0.823,2,231,0.066,0.081,0.052,-3.59,0.016,66.0,72.5,59.6,ass
PKS1649-062,1649-062,cwwa11,Y,0.236,1,503,0.024,0.024,0.024,0.0,0.0,179.1,179.1,179.1,ass
2MASXJ17081524+2111175,J1708+2111,mmo+17,N,0.224,2,356,0.110,0.155,0.065,-38.4,-0.11,131,185,78,ass
2MASXJ1718516+5441486,1717+547,css11,Y,0.147,2,351,0.028,0.033,0.022,-6.9,-0.02,100.0,149.4,50.5,ass
PKSB1740-517,1740-517,asm+15,N,0.441,3,211,0.072,0.173,0.008,16.9,0.080,17.3,58.0,10.7,ass
B21814+34,J1816+3457,ptf+00,Y,0.244,1,231,0.04,0.04,0.04,0.0,0.0,78.8,78.8,78.8,ass
COINSJ1815+6127,J1815+6127,vpt+03,Y,0.597,1,327,0.021,0.021,0.021,0.0,0.0,118.1,118.1,118.1,ass
4C+39.56,J1821+3942,vpt+03,Y,0.795,2,259,0.009,0.01,0.008,-2.0,-0.008,52.6,61.1,44.0,ass
COINSJ1944+5448,J1944+5448,vpt+03,Y,0.258,1,795,0.009,0.009,0.009,0.0,0.0,313.8,313.8,313.8,ass
WMAP051,1954+513,akp+17,N,1.223,2,81,0.015,0.023,0.006,0.09,0.001,41.9,66.9,16.8,ass
B22050+36,B22050+36,vpt+03,Y,0.355,2,109,0.125,0.204,0.046,-5.95,-0.055,24.1,32.4,15.7,ass
3C433,2121+24,mir89,Y,0.107,3,527,0.002,0.004,0.001,1.47,0.003,124.0,199.9,69.9,ass
NVSSJ224500-343030,J2245-3430,asd+19,N,0.356,1,43,0.128,0.128,0.128,1.18,0.031,13.7,13.7,13.7,ass
PKS2252-089,2252-089,cwm+10,Y,0.607,2,286,0.132,0.181,0.084,7.9,0.028,54.9,91.7,18.1,ass
3C455,J2255+1313,vpt+03,Y,0.543,1,281,0.002,0.002,0.002,0.0,0.0,140.9,140.9,140.9,ass
3C459,2316+0405,vpt+03,Y,0.219,1,289,0.003,0.003,0.003,0.0,0.0,130.5,130.5,130.5,ass
COINSJ2355+4950,J2355+4950,vpt+03,Y,0.238,2,272,0.014,0.018,0.011,58.7,0.216,47.2,81.2,13.1,ass
