Name,S,z_abs,a,b_1,b_2,c,x_e,x_p,w,n,x_0,w_50,w_20,tau_peak,tau_int,SNR,chi,Class,Reference 
J084307.11+453742.8,0.331,0.192,7.735e9,0.073,0.593,0,125.576,0.1,-30.925,0,52.382,70.713,113.563,0.278,21.973,310.929,0.3,0,G15-M17  
J090325.54+162256.0,0.048,0.182,0.017,0.707,0.452,2.491,128.719,129.229,1.938,1.676,17.209,118.199,160.788,0.101,8.464,47.025,6.769,0,M17  
J090734.91+325722.9,0.045,0.049,0.023,2.62,0.427,10.11,127.834,126.232,2.616,0.477,16.425,102.47,128.709,0.323,28.772,34.684,11.786,0,M17  
J090937.44+192808.2,0.063,0.028,0.075,0.249,0.873,0.182,95.729,96.231,1.753,2.372,-30.568,106.122,185.032,0.119,14.365,101.039,0.496,0,G15  
J093551.59+612111.3,0.148,0.039,0.074,0.047,0.102,0,90.413,0.1,12.299,0,-74.197,527.342,806.61,0.057,31.856,263.781,0.207,0,G15-M17  
J102053.67+483124.3,0.082,0.053,0.019,0.89,0.867,0.064,90.032,85.982,3.925,1.355,-53.959,126.271,156.028,0.033,3.763,99.28,0.626,0,G15-M17  
J102400.53+511248.1,0.047,0.214,569.267,0.031,0.737,0,157.408,0.1,-40.378,0,-321.02,124.044,239.057,0.08,12.468,60.269,4.514,0,M17  
J102544.22+102230.4,0.093,0.046,0.145,0.861,2.922,0.012,127.055,124.001,1.896,0.427,-15.125,65.187,80.908,0.148,9.651,91.882,1.048,0,M17  
J103932.12+461205.3,0.031,0.186,0.202,0.565,0.597,0,128.596,0.1,1.675,0,13.914,75.19,111.499,0.169,13.3,15.595,9.942,0,M17  
J110017.98+100256.8,0.126,0.036,0.147,0.351,0.273,0.026,124.083,122.619,2.583,3.327,-9.169,100.082,195.363,0.369,46.185,113.409,1.009,0,M17  
J111113.19+284147.0,0.036,0.029,0.125,0.11,0.716,0,133.268,0.1,3.284,0,51.133,149.387,240.749,0.093,15.072,33.055,5.211,0,M17  
J111916.54+623925.7,0.032,0.11,1.68e9,0.384,0.058,0,85.118,0.1,-37.617,0,-91.844,96.812,153.253,0.28,29.866,15.576,16.62,0,M17  
J112030.04+273610.7,0.177,0.113,0.361,0.465,0.554,0,88.576,0.1,0.563,0,-89.214,58.535,90.155,0.156,9.777,259.679,0.368,0,G15-M17  
J112332.04+235047.8,0.143,0.207,0.011,0.874,0.68,0,32.45,32.975,1.559,10.925,-1906.4,33.132,180.289,0.026,1.759,112.452,0.714,0,M17  
J120231.12+163741.8,0.082,0.12,0.328,0.35,0.062,0,74.352,0.1,-5.46,0,-123.367,159.459,273.954,0.036,6.533,79.017,1.035,0,G15-M17  
J122513.09+321401.6,0.051,0.059,0.041,0.677,0.963,0.422,139.15,139.973,2.235,2.347,175.964,51.518,120.752,0.142,9.491,99.05,1.225,0,M17  
J123200.55+331747.6,0.094,0.079,0.009,0.879,0.476,0.729,91.114,91.413,2.893,1.734,-39.897,133.22,165.267,0.034,3.17,351.678,0.118,0,G15-M17  
J123905.13+174457.5,0.066,0.065,0.036,1.236,0.653,0,130.329,0.1,2.113,0,45.241,74.641,99.121,0.035,2.661,84.452,1.196,0,M17  
J124707.32+490017.9,1.14,0.207,0.024,0.244,0.087,0.22,69.204,75.629,-6.808,1.792,-262.929,290.412,404.55,0.001,0.351,2009.654,0.001,0,G15-M17  
J130125.26+291849.5,0.036,0.023,0.007,0.627,1.388,1.284,134.606,137.668,7.547,0.804,84.083,251.861,279.221,0.053,8.672,44.337,1.727,0,M17  
